NAME,TEAM,AGE,MPG,PPG,RPG,APG,SPG,BPG,TOPG
Stephen Curry,Gol,33.17,34.2,32,5.5,5.8,1.21,0.13,3.38
Bradley Beal,Was,27.89,35.8,31.3,4.7,4.4,1.15,0.37,3.12
Damian Lillard,Por,30.84,35.8,28.7,4.2,7.5,0.93,0.25,3.03
Joel Embiid,Phi,27.17,31.1,28.5,10.5,2.8,0.98,1.35,3.12
Giannis Antetokounmpo,Mil,26.44,33,28.1,11,5.9,1.18,1.21,3.39
Luka Doncic,Dal,22.21,34.3,27.7,8,8.6,0.97,0.55,4.26
Zach LaVine,Chi,26.19,35.1,27.4,5,4.9,0.79,0.47,3.5
Zion Williamson,Nor,20.86,33.2,27,7.2,3.7,0.93,0.64,2.74
Kevin Durant,Bro,32.63,33.1,26.9,7.1,5.6,0.71,1.29,3.43
Kyrie Irving,Bro,29.15,34.9,26.9,4.8,6,1.41,0.69,2.39
Nikola Jokic,Den,26.24,34.6,26.4,10.8,8.3,1.32,0.67,3.08
Donovan Mitchell,Uta,24.69,33.4,26.4,4.4,5.2,0.98,0.28,2.77
Jayson Tatum,Bos,23.21,35.8,26.4,7.4,4.3,1.17,0.48,2.67
Devin Booker,Pho,24.54,33.9,25.6,4.2,4.3,0.79,0.24,3.09
Trae Young,Atl,22.66,33.7,25.3,3.9,9.4,0.84,0.17,4.14
De'Aaron Fox,Sac,23.41,35.1,25.2,3.5,7.2,1.5,0.47,3
LeBron James,Lal,36.38,33.4,25,7.7,7.8,1.07,0.56,3.73
Kawhi Leonard,Lac,29.88,34.1,24.8,6.5,5.2,1.56,0.4,2.02
Karl-Anthony Towns,Min,25.5,33.8,24.8,10.6,4.5,0.76,1.14,3.2
Jaylen Brown,Bos,24.56,34.5,24.7,6,3.4,1.24,0.55,2.72
James Harden,Bro,31.72,36.6,24.6,8.6,10.9,1.28,0.75,3.97
Collin Sexton,Cle,22.36,35.3,24.3,3.1,4.4,1.05,0.17,2.78
Julius Randle,Nyk,26.46,37.6,24.1,10.2,6,0.9,0.25,3.38
Brandon Ingram,Nor,23.7,34.3,23.8,4.9,4.9,0.69,0.59,2.51
Shai Gilgeous-Alexander,Okc,22.85,33.7,23.7,4.7,5.9,0.77,0.66,3.03
Paul George,Lac,31.04,33.7,23.3,6.6,5.2,1.15,0.44,3.31
CJ McCollum,Por,29.66,34,23.1,3.9,4.7,0.94,0.45,1.36
Jerami Grant,Det,27.18,33.9,22.3,4.6,2.8,0.65,1.07,2.02
Russell Westbrook,Was,32.51,36.4,22.2,11.5,11.7,1.35,0.35,4.8
Anthony Davis,Lal,28.18,32.3,21.8,7.9,3.1,1.25,1.64,2.06
DeMar DeRozan,San,31.78,33.7,21.6,4.2,6.9,0.92,0.25,1.95
